DataHora,Protocolo,IP_Origem,IP_Destino,Protocolo_Num,Tamanho
2025-06-23 11:40:45,IPv4,192.168.0.15,34.206.6.11,6,52
2025-06-23 11:40:45,IPv4,34.206.6.11,192.168.0.15,6,52
2025-06-23 11:40:45,IPv4,34.206.6.11,192.168.0.15,6,52
2025-06-23 11:40:46,IPv4,192.168.0.15,34.107.243.93,6,91
2025-06-23 11:40:46,IPv4,34.107.243.93,192.168.0.15,6,91
2025-06-23 11:40:46,IPv4,192.168.0.15,34.107.243.93,6,52
2025-06-23 11:40:46,IPv4,192.168.0.12,192.168.0.255,17,63
2025-06-23 11:40:48,IPv4,192.168.0.15,104.18.18.125,6,412
2025-06-23 11:40:48,IPv4,192.168.0.15,104.18.18.125,6,83
2025-06-23 11:40:48,IPv4,104.18.18.125,192.168.0.15,6,52
2025-06-23 11:40:48,IPv4,104.18.18.125,192.168.0.15,6,133
2025-06-23 11:40:48,IPv4,192.168.0.15,104.18.18.125,6,52
2025-06-23 11:40:48,IPv4,192.168.0.15,181.213.132.4,17,77
2025-06-23 11:40:48,IPv4,181.213.132.4,192.168.0.15,17,162
2025-06-23 11:40:48,IPv4,192.168.0.15,54.224.79.84,6,60
2025-06-23 11:40:49,IPv4,54.224.79.84,192.168.0.15,6,60
2025-06-23 11:40:49,IPv4,192.168.0.15,54.224.79.84,6,52
2025-06-23 11:40:49,IPv4,192.168.0.15,54.224.79.84,6,569
2025-06-23 11:40:49,IPv4,54.224.79.84,192.168.0.15,6,52
2025-06-23 11:40:49,IPv4,54.224.79.84,192.168.0.15,6,277
2025-06-23 11:40:49,IPv4,192.168.0.15,54.224.79.84,6,52
2025-06-23 11:40:49,IPv4,192.168.0.15,54.224.79.84,6,1504
2025-06-23 11:40:49,IPv4,54.224.79.84,192.168.0.15,6,52
2025-06-23 11:40:49,IPv4,54.224.79.84,192.168.0.15,6,231
2025-06-23 11:40:49,IPv4,54.224.79.84,192.168.0.15,6,447
2025-06-23 11:40:49,IPv4,54.224.79.84,192.168.0.15,6,76
2025-06-23 11:40:49,IPv4,54.224.79.84,192.168.0.15,6,52
2025-06-23 11:40:49,IPv4,192.168.0.15,54.224.79.84,6,52
2025-06-23 11:40:49,IPv4,192.168.0.15,54.224.79.84,6,76
2025-06-23 11:40:49,IPv4,192.168.0.15,54.224.79.84,6,52
2025-06-23 11:40:49,IPv4,192.168.0.15,35.175.100.41,6,166
2025-06-23 11:40:49,IPv4,192.168.0.15,35.175.100.41,6,91
2025-06-23 11:40:49,IPv4,54.224.79.84,192.168.0.15,6,40
2025-06-23 11:40:49,IPv4,54.224.79.84,192.168.0.15,6,40
2025-06-23 11:40:49,IPv4,35.175.100.41,192.168.0.15,6,52
2025-06-23 11:40:49,IPv4,35.175.100.41,192.168.0.15,6,91
2025-06-23 11:40:49,IPv4,35.175.100.41,192.168.0.15,6,519
2025-06-23 11:40:49,IPv4,35.175.100.41,192.168.0.15,6,83
2025-06-23 11:40:49,IPv4,192.168.0.15,35.175.100.41,6,52
2025-06-23 11:40:49,IPv4,192.168.0.15,35.175.100.41,6,87
2025-06-23 11:40:49,IPv4,35.175.100.41,192.168.0.15,6,52
2025-06-23 11:40:52,IPv4,192.168.0.12,192.168.0.255,17,63
2025-06-23 11:40:53,IPv4,192.168.0.15,104.18.18.125,6,411
2025-06-23 11:40:53,IPv4,192.168.0.15,104.18.18.125,6,83
2025-06-23 11:40:53,IPv4,104.18.18.125,192.168.0.15,6,52
2025-06-23 11:40:53,IPv4,104.18.18.125,192.168.0.15,6,134
2025-06-23 11:40:53,IPv4,192.168.0.15,104.18.18.125,6,52
2025-06-23 11:40:58,IPv4,192.168.0.15,104.18.18.125,6,412
2025-06-23 11:40:58,IPv4,192.168.0.15,104.18.18.125,6,83
2025-06-23 11:40:58,IPv4,104.18.18.125,192.168.0.15,6,87
2025-06-23 11:40:58,IPv4,192.168.0.15,104.18.18.125,6,52
2025-06-23 11:40:58,IPv4,104.18.18.125,192.168.0.15,6,87
2025-06-23 11:40:58,IPv4,192.168.0.15,104.18.18.125,6,52
2025-06-23 11:40:58,IPv4,104.18.18.125,192.168.0.15,6,52
2025-06-23 11:40:58,IPv4,104.18.18.125,192.168.0.15,6,133
2025-06-23 11:40:58,IPv4,192.168.0.15,104.18.18.125,6,52
2025-06-23 11:40:58,IPv4,192.168.0.12,192.168.0.255,17,63
2025-06-23 11:41:03,IPv4,192.168.0.15,104.18.18.125,6,411
2025-06-23 11:41:03,IPv4,192.168.0.15,104.18.18.125,6,83
2025-06-23 11:41:03,IPv4,104.18.18.125,192.168.0.15,6,52
2025-06-23 11:41:03,IPv4,104.18.18.125,192.168.0.15,6,133
2025-06-23 11:41:03,IPv4,192.168.0.15,104.18.18.125,6,52
